run_id,site_id,battery_id,period_id,money_spent,money_no_batt,score
29_2_8,29,2,8,577.2306274002023,784.7856274902967,-0.2644734980096979
29_2_9,29,2,9,674.846008691234,903.7902602797222,-0.2533156879978217
29_2_10,29,2,10,1394.0206860856727,1446.9008650429716,-0.03654720253120348
29_2_11,29,2,11,1319.0515914429805,1463.010065591161,-0.09839882686658825
29_2_12,29,2,12,731.7978849484349,936.1379026781833,-0.21827982516801747
29_2_13,29,2,13,640.0463963117236,840.0346916661983,-0.23807147173624515
29_2_14,29,2,14,1135.5217641084525,1253.9792559564003,-0.09446527228044224
29_2_15,29,2,15,1460.0682557296216,1503.5444458078896,-0.02891579972875843
29_2_16,29,2,16,731.2305787903047,929.3933931110722,-0.21321736929658272
29_2_17,29,2,17,1596.1047724522616,1623.8690107884788,-0.017097584935583023
29_2_18,29,2,18,1850.4687580850232,1878.510291811499,-0.014927537979807698
29_2_19,29,2,19,992.7449378195367,1184.6744053231891,-0.162010309871844
31_1_1,31,1,1,903.405326510518,1135.156891574956,-0.20415818005817496
31_1_2,31,1,2,2485.81989836539,3011.7726477869974,-0.17463228833294203
31_1_3,31,1,3,2280.0100744195115,2426.2143464357823,-0.060260245444122215
31_1_4,31,1,4,2985.527511341234,3111.7367392609967,-0.040559095609654955
31_1_5,31,1,5,1281.4624634965157,1517.0079402970068,-0.15526977186050517
31_1_6,31,1,6,4567.92660968318,4639.938026812931,-0.015519909256032452
31_1_7,31,1,7,1427.829053736458,1691.4614697372945,-0.15586072796667483
31_1_8,31,1,8,2568.9476211957576,3116.766202308375,-0.17576505440378737
31_1_9,31,1,9,4670.962649251514,5162.995970966226,-0.09529996236325368
31_1_10,31,1,10,1883.3156462886222,2078.880586994729,-0.09407223384043402
31_2_1,31,2,1,724.8743909672539,1135.156891574956,-0.3614324184196794
31_2_2,31,2,2,2096.5571275011744,3011.7726477869974,-0.3038793519020464
31_2_3,31,2,3,2167.347037427328,2426.2143464357823,-0.10669597654829718
31_2_4,31,2,4,2891.039692692919,3111.7367392609967,-0.07092407393708088
